favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
101,Twitter Media Studio,Steve Bullock: We can be carbon neutral “by 2040 or even earlier” https://t.co/ZpToNuJi8W https://t.co/EvTB7MQBSX,,False,Sun Aug 25 22:51:04 +0000 2019,22,1165758520949661699
206,SocialFlow,"Ex-Republican Rep. Joe Walsh calls President Trump an “unfit con man,” and says he's sorry for helping elect him… https://t.co/Id0pN3fDZM",,False,Thu Aug 15 18:07:06 +0000 2019,77,1162063178991357954
24,SocialFlow,The “possible political bias” cited and dismissed by an intel watchdog was that the whistleblower is a registered D… https://t.co/0z7QCuJQ4g,,False,Fri Oct 04 00:45:06 +0000 2019,15,1179920344896946176
55,SocialFlow,Sen. Tom Cotton says he floated the idea of buying Greenland to President Trump https://t.co/KO9et5Q2Cj https://t.co/0ssgpgpVEL,,False,Fri Aug 23 00:50:02 +0000 2019,14,1164701296080953346
19,SocialFlow,"The 2020 Democratic race may remain stable, even if candidates drop out https://t.co/HLqczjaDty https://t.co/ylYw16bmGm",,False,Wed Nov 27 12:52:27 +0000 2019,2,1199672332031266816
18,SocialFlow,"Asylum limits won't apply to migrants at the US border before mid-July, a judge rules https://t.co/i1szdSz2Fx https://t.co/CKlwPAUBJw",,False,Tue Nov 19 21:48:31 +0000 2019,4,1196908134457106433
16,SocialFlow,Reckoning with the specter of lynching in the Trump era | Analysis https://t.co/SPp6pKFTFt https://t.co/9MPtDOtQrb,,False,Sun Oct 06 15:35:07 +0000 2019,8,1180869098940575745
13,SocialFlow,9th Circuit hears oral arguments in the Trump administration’s asylum cases https://t.co/mpR1Y5FIIN https://t.co/DVS5fAWAqM,,False,Tue Oct 01 19:12:07 +0000 2019,12,1179111771040337923
9,SocialFlow,Fact check: Jay Inslee on the climate crisis https://t.co/CM4LchYnTI https://t.co/o1qdZhp9qC,,False,Thu Aug 01 03:32:12 +0000 2019,1,1156769574559387649
14,SocialFlow,Ukrainian officials are discussing ways to improve their standing with President Trump https://t.co/9ZoettREFb https://t.co/z8hUWhAfzp,,False,Fri Nov 29 22:05:03 +0000 2019,7,1200536175125106688
16,SocialFlow,"“The girl is upset and I get that. But her father committed a crime,” acting CBP chief Mark Morgan says of video of… https://t.co/whMFDuCUFk",,False,Tue Aug 13 06:00:05 +0000 2019,7,1161155442673946624
20,SocialFlow,"President Trump: ""I didn't threaten anybody"" https://t.co/xJGeHhWo6D https://t.co/nngNX2SGXK",,False,Wed Sep 25 21:07:05 +0000 2019,4,1176966376491294721
150,SocialFlow,NEW: The head of the company that publishes the National Enquirer has spoken with prosecutors as part of an investi… https://t.co/RvfEdJfIzP,,False,Mon Nov 25 20:33:39 +0000 2019,61,1199063622636523520
5,SocialFlow,"Yes, Donald Trump wants to buy Greenland

Watch The Point with Chris Cillizza on YouTube https://t.co/i607MxN8Qq https://t.co/06TjqLnHgk",,False,Tue Aug 20 20:34:06 +0000 2019,7,1163912111099133952
257,SocialFlow,A statue of former President George H.W. Bush's service dog will sit in the presidential library… https://t.co/fXRr52xHFu,,False,Sat Nov 16 11:25:05 +0000 2019,28,1195664077160361984
37,SocialFlow,Rudy Giuliani says he met with Ukrainian official to discuss Joe Biden https://t.co/Up22BUWIC9 https://t.co/SG0eprKy6O,,False,Thu Aug 22 18:26:03 +0000 2019,32,1164604661946572801
359,SocialFlow,"BREAKING: House investigators can see Mueller grand jury materials, judge rules https://t.co/lmB0FvnCMb https://t.co/hZaiKmIuIW",,False,Fri Oct 25 19:51:47 +0000 2019,97,1187819061423562752
23,SocialFlow,2020 candidates seek to wrest the spotlight from impeachment #DemDebate https://t.co/CcLerebrfP https://t.co/SaM05Gc1XO,,False,Thu Nov 21 00:15:38 +0000 2019,11,1197307547822297089
38,Twitter Media Studio,"Six months before the caucuses, Democrats make their pitches to Iowa voters https://t.co/oWlQPuljgU https://t.co/ehnlD8toof",,False,Thu Aug 08 22:40:00 +0000 2019,16,1159595139951550465
36,Twitter Media Studio,"Is America headed into a recession? The White House can't seem to decide. 

CNN's Chris Cillizza reviews the Presid… https://t.co/9EDY4X83SL",,False,Wed Aug 21 19:17:00 +0000 2019,19,1164255096127012864
33,SocialFlow,Senate Majority Leader Mitch McConnell wants a Syria resolution stronger than what passed the Democratically contro… https://t.co/86UyqH74RD,,False,Thu Oct 17 22:10:07 +0000 2019,15,1184954771641421825
43,SocialFlow,"The whistleblower complaint, annotated https://t.co/K0IckntUAu https://t.co/4ZYO4SeSNY",,False,Thu Sep 26 20:21:40 +0000 2019,14,1177317335226564608
21,SocialFlow,Here are the 24 Democrats who are running for president https://t.co/vzi3MsZOyQ https://t.co/gAsAleTBgg,,False,Tue Aug 13 23:11:05 +0000 2019,7,1161414900834537474
44,SocialFlow,"Joe Biden's campaign says he misspoke when he said ""poor kids"" are just as bright as ""white kids""… https://t.co/SRNuHybz2T",,False,Sat Aug 10 10:01:07 +0000 2019,19,1160128937751646208
42,SocialFlow,Cory Booker lands punches and punchlines in crucial Democratic debate https://t.co/m1vF7mDnm0 https://t.co/B2w28FVXlA,,False,Thu Aug 01 04:15:07 +0000 2019,9,1156780371951927296
176,SocialFlow,Rep. Elijah Cummings calls on Congress to cancel recess https://t.co/ylFbG7sjQ9 https://t.co/RdbE9fsUxY,,False,Thu Aug 08 09:30:08 +0000 2019,51,1159396365283278848
40,SocialFlow,Vice President Mike Pence takes swipe at Congress during an unannounced visit to Iraq https://t.co/FZE5rKgeum https://t.co/iTSSQW9rR9,,False,Sun Nov 24 13:27:02 +0000 2019,11,1198593873204973570
